Resignation,Business Travel,CF_age band,CF_current Employee,Current Status,Department,Education,Employee Number,Gender,Job Role,Marital Status,Over Time,Trainings Last Year,Age,Daily Rate,Distance From Home,Education Degree,Environment Satisfaction,Job Involvement,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Stock Option Level,Total Working Years,Work Life Balance,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Frequently,35 - 44,1,Current Employees,Sales,Life Sciences,1812,Male,Sales Executive,Divorced,No,6,39,766,20,Bachelor's Degree,3,3,4,4127,2,18,3,1,7,3,1,2,2
No,Travel_Frequently,35 - 44,1,Current Employees,Sales,Medical,1700,Male,Sales Executive,Divorced,No,2,37,1278,1,Master's Degree,3,1,4,9525,1,14,3,2,6,2,3,1,3
No,Travel_Frequently,45 - 54,1,Current Employees,Sales,Medical,2065,Male,Sales Executive,Married,No,3,49,1023,2,Bachelor's Degree,4,2,2,5390,2,14,3,0,17,2,6,0,8
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Medical,1477,Male,Sales Executive,Married,No,2,33,430,7,Bachelor's Degree,4,3,1,4373,0,14,3,2,5,3,3,0,3
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Life Sciences,1507,Male,Sales Executive,Single,No,5,28,467,7,Bachelor's Degree,3,3,1,4898,0,14,3,0,5,3,2,1,3
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Other,1613,Male,Sales Executive,Single,No,3,31,715,2,Master's Degree,4,3,1,5332,7,13,3,0,10,3,2,0,3
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Marketing,1853,Male,Sales Executive,Single,No,2,32,1318,10,Master's Degree,4,3,4,4648,8,13,3,0,4,4,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,HR,Other,1794,Male,Human Resources,Divorced,No,4,37,1239,8,Associates Degree,3,3,2,4071,2,13,3,0,19,2,0,4,7
No,Travel_Rarely,25 - 34,1,Current Employees,HR,Medical,1865,Male,Human Resources,Married,No,3,29,352,6,High School,4,2,2,2804,1,11,3,0,1,3,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,HR,Other,1419,Male,Human Resources,Single,No,3,29,332,17,Bachelor's Degree,2,2,1,7988,1,13,3,0,10,2,9,0,9
No,Travel_Rarely,35 - 44,1,Current Employees,HR,Life Sciences,1778,Male,Human Resources,Single,No,5,43,244,2,Bachelor's Degree,2,3,4,3539,0,13,3,0,10,3,7,1,8
No,Travel_Rarely,Over 55,1,Current Employees,R&D,Technical Degree,1694,Male,Research Scientist,Divorced,No,1,55,1441,22,Bachelor's Degree,1,2,2,3537,5,12,3,1,8,3,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1506,Male,Research Scientist,Divorced,No,2,28,1423,1,Bachelor's Degree,1,2,3,1563,1,14,3,1,1,1,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1892,Male,Manager,Divorced,No,3,40,1137,1,Master's Degree,1,3,1,16823,2,11,3,1,22,3,7,11,16
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1881,Male,Laboratory Technician,Divorced,No,2,31,311,20,Bachelor's Degree,2,3,3,4197,1,11,3,1,10,3,8,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1627,Male,Laboratory Technician,Divorced,No,3,39,170,3,Associates Degree,3,2,3,3069,0,15,3,1,11,3,8,0,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1474,Male,Research Scientist,Divorced,No,3,40,896,2,Bachelor's Degree,3,3,3,2345,2,14,3,1,8,4,1,1,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1857,Male,Manufacturing Director,Divorced,No,4,46,706,2,Associates Degree,4,3,4,8578,3,14,3,1,12,2,8,4,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Technical Degree,1599,Male,Laboratory Technician,Divorced,No,0,43,990,27,Bachelor's Degree,4,4,2,4876,5,12,3,1,8,3,4,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1940,Male,Research Scientist,Divorced,No,0,38,1206,9,Associates Degree,2,3,4,4771,2,19,3,2,10,4,2,0,3
No,Travel_Rarely,Over 55,1,Current Employees,R&D,Medical,1424,Male,Research Director,Divorced,No,4,55,1136,1,Master's Degree,2,4,4,14732,2,13,3,2,31,4,7,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1484,Male,Healthcare Representative,Divorced,No,3,49,1490,7,Master's Degree,3,3,2,10466,3,14,3,2,29,3,7,0,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1859,Male,Healthcare Representative,Divorced,No,3,29,726,29,High School,4,1,3,6384,8,17,3,2,11,3,0,1,6
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Other,1619,Male,Laboratory Technician,Divorced,No,3,27,1302,19,Bachelor's Degree,4,2,1,4066,1,11,3,2,7,3,7,0,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1671,Male,Research Scientist,Divorced,No,4,32,977,2,Bachelor's Degree,4,3,2,5470,0,13,3,2,10,2,5,1,6
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Technical Degree,1553,Male,Healthcare Representative,Divorced,No,4,45,538,1,Master's Degree,1,3,2,7441,1,12,3,3,10,3,8,7,7
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Medical,1725,Male,Laboratory Technician,Divorced,No,2,24,506,29,High School,2,3,1,3907,1,13,3,3,6,4,2,1,2
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Technical Degree,1551,Male,Laboratory Technician,Divorced,No,3,24,350,21,Associates Degree,3,2,1,2296,0,14,3,3,2,3,1,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,1871,Male,Research Scientist,Divorced,No,2,39,835,19,Master's Degree,4,3,4,3902,8,14,3,3,7,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,2031,Male,Manager,Married,No,2,42,300,2,Bachelor's Degree,1,3,3,18880,5,11,3,0,24,2,6,4,14
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1543,Male,Research Scientist,Married,No,2,37,674,13,Bachelor's Degree,1,3,4,4285,1,17,3,0,10,3,8,3,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1434,Male,Laboratory Technician,Married,No,3,27,1377,11,High School,2,3,1,2099,0,14,3,0,6,4,0,1,4
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1621,Male,Research Scientist,Married,No,2,35,819,18,Doctoral Degree,2,4,1,5208,1,11,3,0,16,3,15,1,10
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,2068,Male,Laboratory Technician,Married,No,3,34,628,8,Bachelor's Degree,2,4,3,4404,2,12,3,0,6,4,3,1,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,1689,Male,Healthcare Representative,Married,No,2,53,1395,24,Master's Degree,2,4,4,7005,3,15,3,0,11,3,3,1,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1867,Male,Research Director,Married,No,3,48,1224,10,Bachelor's Degree,4,2,2,19665,4,12,3,0,29,3,10,12,9
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1989,Male,Laboratory Technician,Married,No,6,30,911,1,Associates Degree,4,3,2,3748,1,13,3,0,12,2,8,1,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1954,Male,Healthcare Representative,Married,No,5,29,136,1,Bachelor's Degree,1,3,1,5373,0,12,3,1,6,2,3,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Technical Degree,1473,Male,Healthcare Representative,Married,No,0,49,1495,5,Master's Degree,1,3,3,6651,2,14,3,1,20,2,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1971,Male,Healthcare Representative,Married,No,1,43,574,11,Bachelor's Degree,1,3,3,7510,1,17,3,1,10,3,9,0,9
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Technical Degree,1415,Male,Laboratory Technician,Married,No,2,25,949,1,Bachelor's Degree,1,3,4,3229,4,11,3,1,7,2,2,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Technical Degree,1438,Male,Research Scientist,Married,No,2,47,465,1,Bachelor's Degree,1,3,4,3420,7,12,3,1,17,2,5,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1826,Male,Laboratory Technician,Married,No,2,35,185,23,Master's Degree,2,1,3,2705,0,16,3,1,6,4,4,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1609,Male,Research Scientist,Married,No,3,30,241,7,Bachelor's Degree,2,2,2,2141,1,12,3,1,6,2,4,1,1
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1696,Male,Laboratory Technician,Married,No,3,34,1157,5,Associates Degree,2,2,4,3986,1,14,3,1,15,4,10,4,13
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Technical Degree,1931,Male,Research Scientist,Married,No,3,27,1354,2,Master's Degree,2,3,2,2226,1,11,3,1,6,2,3,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1721,Male,Laboratory Technician,Married,No,2,31,741,2,Master's Degree,2,3,3,3477,1,14,3,1,6,4,2,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1729,Male,Research Scientist,Married,No,2,30,793,16,High School,2,3,4,2862,1,12,3,1,10,2,0,0,8
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1580,Male,Research Scientist,Married,No,3,34,1351,1,Master's Degree,2,3,4,5484,9,17,3,1,9,2,2,2,1
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1903,Male,Healthcare Representative,Married,No,5,44,170,1,Master's Degree,2,4,1,5033,2,15,3,1,10,3,0,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1542,Male,Laboratory Technician,Married,No,3,42,1210,2,Bachelor's Degree,3,2,2,4841,4,14,3,1,4,3,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1601,Male,Laboratory Technician,Married,No,5,35,1349,7,Associates Degree,3,2,4,2690,1,18,3,1,1,2,0,0,1
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1911,Male,Research Director,Married,No,3,42,1396,6,Bachelor's Degree,3,3,1,13348,9,13,3,1,18,4,7,5,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1799,Male,Research Scientist,Married,No,6,28,1181,1,Bachelor's Degree,3,3,4,2044,1,11,3,1,5,4,3,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1763,Male,Healthcare Representative,Married,No,3,30,305,16,Bachelor's Degree,3,4,3,5294,3,16,3,1,10,3,0,1,7
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Medical,1707,Male,Research Scientist,Married,No,1,24,581,9,Bachelor's Degree,3,4,3,4401,1,16,3,1,5,3,3,0,4
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,2062,Male,Healthcare Representative,Married,No,5,39,613,6,High School,4,2,1,9991,4,15,3,1,9,3,7,1,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1523,Male,Research Director,Married,No,1,44,136,28,Bachelor's Degree,4,3,1,16328,3,13,3,1,24,4,6,14,17
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1728,Male,Manufacturing Director,Married,No,3,35,1370,27,Master's Degree,4,3,3,6883,2,16,3,1,17,3,7,0,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1798,Male,Research Scientist,Married,No,1,33,867,8,Master's Degree,4,4,1,3143,6,19,3,1,14,3,8,7,6
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Technical Degree,1592,Male,Research Scientist,Married,No,2,23,977,10,Bachelor's Degree,4,4,3,2073,2,16,3,1,4,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1682,Male,Healthcare Representative,Married,No,2,36,1351,26,Master's Degree,1,3,3,5347,6,14,3,2,10,2,2,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,2012,Male,Laboratory Technician,Married,No,3,40,543,1,Master's Degree,1,3,4,2406,8,19,3,2,8,2,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1803,Male,Healthcare Representative,Married,No,2,42,1128,13,Bachelor's Degree,2,4,1,5538,5,18,3,2,10,2,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1596,Male,Laboratory Technician,Married,No,3,35,750,28,Bachelor's Degree,2,4,3,3407,1,17,3,2,10,2,9,6,8
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1514,Male,Manufacturing Director,Married,No,2,28,1083,29,High School,3,1,2,6549,1,14,3,2,8,2,6,1,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1558,Male,Research Scientist,Married,No,2,29,598,9,Bachelor's Degree,3,4,3,2451,6,18,3,2,5,2,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1618,Male,Manufacturing Director,Married,No,3,39,1387,10,Doctoral Degree,2,3,1,5377,2,13,3,3,10,3,7,7,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1698,Male,Laboratory Technician,Married,No,6,33,267,21,Bachelor's Degree,2,4,2,2028,1,18,3,3,14,3,11,2,13
No,Travel_Rarely,Over 55,1,Current Employees,R&D,Medical,1770,Male,Research Director,Married,No,2,55,478,2,Bachelor's Degree,3,2,1,19038,8,12,3,3,34,3,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1631,Male,Manufacturing Director,Married,No,2,37,671,19,Bachelor's Degree,3,3,3,5768,3,17,3,3,9,2,3,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1718,Male,Laboratory Technician,Married,No,3,26,390,17,Master's Degree,4,1,3,2305,1,15,3,3,3,4,2,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1435,Male,Laboratory Technician,Single,No,2,36,172,4,Master's Degree,1,2,4,5810,1,16,3,0,10,2,4,1,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1659,Male,Laboratory Technician,Single,No,4,36,311,7,Bachelor's Degree,1,3,2,2013,2,11,3,0,15,3,3,1,3
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Life Sciences,1533,Male,Laboratory Technician,Single,No,2,23,507,20,High School,1,3,3,2272,0,14,3,0,5,3,3,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1577,Male,Research Scientist,Single,No,4,34,479,7,Master's Degree,1,3,4,2972,1,13,3,0,1,1,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,2014,Male,Research Scientist,Single,No,2,39,116,24,High School,1,3,4,4108,7,13,3,0,18,3,7,1,7
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Life Sciences,1981,Male,Healthcare Representative,Single,No,2,24,771,1,Associates Degree,2,2,3,4617,1,12,3,0,4,2,3,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,2008,Male,Research Scientist,Single,No,5,35,1395,9,Master's Degree,2,3,3,5098,1,19,3,0,10,3,7,0,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1814,Male,Healthcare Representative,Single,No,3,41,447,5,Bachelor's Degree,2,4,2,6870,3,12,3,0,11,1,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,2048,Male,Research Scientist,Single,No,2,40,1322,2,Master's Degree,3,2,3,2809,2,14,3,0,8,3,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1952,Male,Laboratory Technician,Single,No,6,26,157,1,Bachelor's Degree,3,3,1,2867,0,13,3,0,8,2,7,7,6
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1727,Male,Healthcare Representative,Single,No,3,46,717,13,Master's Degree,3,3,2,5562,6,14,3,0,19,3,7,0,9
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1677,Male,Manager,Single,No,2,49,809,1,Bachelor's Degree,3,3,3,15379,4,14,3,0,23,3,7,0,0
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Medical,1623,Male,Research Scientist,Single,No,2,21,546,5,High School,3,3,4,3117,1,18,3,0,3,3,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Other,1417,Male,Laboratory Technician,Single,No,2,26,652,7,Bachelor's Degree,3,4,1,3578,0,12,3,0,8,3,7,0,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1564,Male,Laboratory Technician,Single,No,3,35,992,1,Bachelor's Degree,4,2,1,2450,1,19,3,0,3,3,0,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1545,Male,Manufacturing Director,Single,No,2,33,575,25,Bachelor's Degree,4,2,2,4320,1,13,3,0,5,3,3,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1883,Male,Laboratory Technician,Single,No,2,29,592,7,Bachelor's Degree,4,3,1,2062,3,14,3,0,11,3,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Technical Degree,2038,Male,Research Scientist,Single,No,4,32,529,2,Bachelor's Degree,4,3,1,2439,1,14,3,0,4,3,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1475,Male,Research Scientist,Single,No,3,44,1467,20,Bachelor's Degree,4,3,2,3420,1,13,3,0,6,2,2,1,3
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1860,Male,Laboratory Technician,Single,No,3,42,1142,8,Bachelor's Degree,4,3,3,3968,4,13,3,0,8,3,0,0,0
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Life Sciences,2007,Male,Research Scientist,Single,No,2,22,581,1,Associates Degree,4,3,3,3375,0,12,3,0,4,4,2,1,2
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Other,1982,Male,Laboratory Technician,Single,No,6,23,571,12,Associates Degree,4,3,4,2647,1,13,3,0,5,4,2,1,4
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,1472,Male,Research Director,Single,No,2,53,447,2,Bachelor's Degree,4,4,2,16598,4,12,3,0,35,2,8,8,8
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,1453,Male,Sales Executive,Divorced,No,5,31,326,8,Associates Degree,1,3,4,10793,1,18,3,1,13,3,7,9,9
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,1754,Male,Sales Executive,Divorced,No,2,30,979,15,Associates Degree,3,2,1,7140,2,11,3,1,12,3,7,1,7
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,2037,Male,Sales Executive,Divorced,No,5,41,930,3,Bachelor's Degree,3,2,2,8938,2,11,3,1,14,3,4,0,4
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,1951,Male,Sales Executive,Divorced,No,2,34,1239,13,Master's Degree,4,3,3,8628,1,18,3,1,9,2,7,1,1
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,1497,Male,Sales Executive,Divorced,No,3,29,1246,19,Bachelor's Degree,3,2,3,8620,1,14,3,2,10,3,7,0,4
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,1670,Male,Sales Executive,Divorced,No,5,33,392,2,Master's Degree,4,3,4,5505,1,14,3,2,6,3,2,0,4
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Marketing,1466,Male,Sales Executive,Divorced,No,3,48,1221,7,Bachelor's Degree,3,3,1,5486,4,11,3,3,15,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Medical,1548,Male,Sales Executive,Married,No,5,40,1342,9,Associates Degree,1,3,1,5473,0,12,3,0,9,4,4,7,1
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,1560,Male,Sales Executive,Married,No,6,33,1242,8,Master's Degree,1,3,1,6392,2,13,3,1,8,1,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,1996,Male,Sales Representative,Married,No,1,31,1154,2,Associates Degree,1,3,3,3067,0,19,3,1,3,3,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Technical Degree,1749,Male,Sales Executive,Married,No,3,31,1003,5,Bachelor's Degree,1,3,3,8346,1,19,3,1,6,3,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,2013,Male,Sales Representative,Married,No,2,32,234,1,Master's Degree,2,2,2,2269,0,14,3,1,3,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Medical,1945,Male,Sales Executive,Married,No,2,35,682,18,Master's Degree,2,3,1,5561,0,16,3,1,6,1,3,0,4
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Technical Degree,1568,Male,Sales Executive,Married,No,3,30,1288,29,Master's Degree,3,3,2,9250,3,12,3,1,9,3,2,1,3
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,1582,Male,Sales Executive,Married,No,3,38,1245,14,Bachelor's Degree,3,3,2,9924,0,11,3,1,10,3,8,7,7
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,1739,Male,Sales Executive,Married,No,2,32,371,19,Bachelor's Degree,4,1,3,9610,3,13,3,1,10,1,3,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,1492,Male,Sales Representative,Married,No,3,35,660,7,High School,4,3,3,2404,1,13,3,1,1,3,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,1446,Male,Sales Executive,Married,No,3,32,601,7,Doctoral Degree,4,3,4,9204,4,12,3,1,7,2,3,0,3
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Medical,1588,Male,Sales Executive,Married,No,3,39,1462,6,Bachelor's Degree,4,4,3,8237,2,11,3,1,11,3,6,7,6
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1787,Male,Sales Executive,Married,No,2,37,589,9,Associates Degree,2,2,2,4189,1,14,3,2,5,3,2,0,3
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1908,Male,Sales Executive,Married,No,1,36,335,17,Associates Degree,3,2,2,5507,2,16,3,2,12,1,2,1,3
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,1995,Male,Sales Executive,Married,No,3,38,1321,1,Master's Degree,4,3,2,4440,0,15,3,2,16,3,13,5,8
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,1479,Male,Sales Executive,Married,No,2,30,1358,16,High School,4,3,3,5301,8,15,3,2,4,2,1,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,1961,Male,Sales Representative,Single,No,3,38,1404,1,Bachelor's Degree,1,2,1,2858,4,14,3,0,20,2,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1975,Male,Sales Executive,Single,No,3,39,119,15,Master's Degree,2,3,1,13341,0,12,3,0,21,3,8,11,10
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Medical,1740,Male,Manager,Single,No,3,40,611,7,Master's Degree,2,3,2,19833,1,14,3,0,21,2,8,12,8
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,1924,Male,Sales Executive,Single,No,2,33,217,10,Master's Degree,2,3,3,5487,1,14,3,0,10,2,4,0,9
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,1650,Male,Sales Executive,Single,No,2,29,469,10,Bachelor's Degree,3,2,3,5869,9,11,3,0,8,3,2,1,4
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,1836,Male,Sales Executive,Single,No,4,26,572,10,Bachelor's Degree,3,3,4,4684,1,13,3,0,5,3,3,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Other,1478,Male,Sales Executive,Single,No,2,34,1326,3,Bachelor's Degree,4,1,1,4759,3,18,3,0,15,3,9,3,12
No,Travel_Rarely,Under 25,1,Current Employees,Sales,Life Sciences,1680,Male,Sales Representative,Single,No,3,20,727,9,High School,4,3,1,2728,1,11,3,0,2,3,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,1469,Male,Sales Executive,Single,No,4,28,866,5,Bachelor's Degree,4,3,1,8463,0,18,3,0,6,3,4,1,3
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1708,Male,Sales Executive,Single,No,3,41,918,6,Bachelor's Degree,4,3,3,9241,1,12,3,0,10,3,8,8,7
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,1965,Male,Sales Executive,Single,No,5,27,954,9,Bachelor's Degree,4,3,4,4105,1,14,3,0,7,3,7,0,7
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Life Sciences,1602,Male,Manager,Single,No,5,46,563,1,Master's Degree,4,4,1,17567,1,15,3,0,27,1,0,0,12
No,Non-Travel,Under 25,1,Current Employees,R&D,Other,1605,Female,Research Scientist,Married,Yes,2,22,457,26,Associates Degree,2,2,3,2814,1,14,3,0,4,2,2,1,3
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,1937,Female,Research Scientist,Divorced,Yes,3,38,1394,8,Bachelor's Degree,4,2,2,2133,1,16,3,1,20,3,11,0,7
No,Travel_Frequently,Under 25,1,Current Employees,R&D,Technical Degree,1646,Female,Research Scientist,Single,Yes,2,24,567,2,High School,1,3,4,3760,1,13,3,0,6,3,3,1,3
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,1850,Female,Laboratory Technician,Single,Yes,3,27,1297,5,Associates Degree,4,3,4,2379,0,14,3,0,6,2,4,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,HR,Life Sciences,1683,Female,Human Resources,Divorced,Yes,2,44,528,1,Bachelor's Degree,3,3,4,3195,4,18,3,3,8,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,HR,Life Sciences,2040,Female,Human Resources,Single,Yes,2,35,1146,26,Master's Degree,3,3,4,8837,1,16,3,0,9,3,0,1,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1608,Female,Research Director,Divorced,Yes,4,44,1313,7,Bachelor's Degree,2,3,4,19049,0,14,3,1,23,2,7,1,10
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1827,Female,Manufacturing Director,Divorced,Yes,4,47,1001,4,Bachelor's Degree,3,2,2,10333,8,12,3,1,28,3,11,14,10
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,1674,Female,Laboratory Technician,Divorced,Yes,2,49,464,16,Bachelor's Degree,4,3,1,2587,4,16,3,1,17,2,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1974,Female,Laboratory Technician,Divorced,Yes,4,31,1276,2,High School,4,1,4,1129,1,11,3,3,1,3,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,1886,Female,Manufacturing Director,Married,Yes,2,35,219,16,Associates Degree,4,2,2,4788,0,11,3,0,4,3,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1893,Female,Research Scientist,Married,Yes,3,26,482,1,Associates Degree,2,2,3,2933,1,13,3,1,1,2,0,1,0
